item_name,current_stock,minimum_threshold,buffer_stock,category,specifications
Petri Dishes (100mm),5,20,15,Lab Supplies,Sterile polystyrene with lid
Micropipette Tips (1000Î¼L),2,50,25,Lab Supplies,Sterile filtered tips
Laboratory Gloves (Nitrile),0,10,5,Safety Equipment,Powder-free size M
pH Buffer Solution (7.0),3,15,10,Chemicals,500ml bottle certified reference
Eppendorf Tubes (1.5ml),8,25,20,Lab Supplies,Sterile DNase/RNase free
Autoclave Tape,1,5,3,Lab Supplies,Steam indicator tape 19mm
Cell Culture Media,0,12,8,Chemicals,DMEM with 10% FBS sterile
Microscope Slides,15,30,10,Lab Supplies,Plain glass 75x25mm
Laboratory Beakers (250ml),4,15,10,Glassware,Borosilicate glass graduated
Centrifuge Tubes (50ml),6,20,15,Lab Supplies,Sterile polypropylene conical
Incubator Filters,2,8,5,Equipment Parts,HEPA filters for CO2 incubator
PCR Reaction Tubes,12,40,20,Lab Supplies,0.2ml thin wall sterile
Safety Goggles,3,12,8,Safety Equipment,Chemical splash protection
Bunsen Burner Gas,1,6,4,Equipment,Propane cartridge for lab burner
Analytical Balance Calibration Weights,5,10,5,Equipment Parts,Class F1 weight set 