item_name,required_quantity,category,specifications,priority
Petri Dishes (100mm),30,Lab Supplies,Sterile polystyrene with lid,Medium
Micropipette Tips (1000Î¼L),73,Lab Supplies,Sterile filtered tips,Medium
Laboratory Gloves (Nitrile),15,Safety Equipment,Powder-free size M,High
pH Buffer Solution (7.0),22,Chemicals,500ml bottle certified reference,Medium
Eppendorf Tubes (1.5ml),37,Lab Supplies,Sterile DNase/RNase free,Medium
Autoclave Tape,7,Lab Supplies,Steam indicator tape 19mm,Medium
Cell Culture Media,20,Chemicals,DMEM with 10% FBS sterile,High
Microscope Slides,25,Lab Supplies,Plain glass 75x25mm,Medium
Laboratory Beakers (250ml),21,Glassware,Borosilicate glass graduated,Medium
Centrifuge Tubes (50ml),29,Lab Supplies,Sterile polypropylene conical,Medium
Incubator Filters,11,Equipment Parts,HEPA filters for CO2 incubator,Medium
PCR Reaction Tubes,48,Lab Supplies,0.2ml thin wall sterile,Medium
Safety Goggles,17,Safety Equipment,Chemical splash protection,Medium
Bunsen Burner Gas,9,Equipment,Propane cartridge for lab burner,Medium
Analytical Balance Calibration Weights,10,Equipment Parts,Class F1 weight set ,Medium
